ID	IDServices	Num Services	Hini	Hfin	Distance	Service Time	Travel Time	Waiting time
28	12614.6.08:00.30/1-34711.6.08:30.30/0-43730.6.11:00.60/0-6538.6.12:45.30/0-30131.6.16:00.240/0-4397.6.21:30.30/1-	6	08:00:43	21:26:43	2.4353266991440862E7	0.007	13.775683048028794	8.999933333333333
29	7423.6.08:40.60/0-4797.6.10:00.30/0-934.6.12:30.60/0-16278.6.14:05.30/0-1410.6.14:40.30/0-4351.6.18:30.30/0-36723.6.19:40.30/0-35240.6.20:20.30/0-	8	08:40:43	20:13:43	2.427485589044293E7	0.005	9.097138818764549	159.99943333333334
30	43480.6.10:45.120/0-4061.6.13:15.60/0-40692.6.14:15.60/0-1173.6.19:30.30/0-5242.6.20:30.30/0-	5	10:45:43	20:28:43	2.427372964661345E7	0.005	3.1231715537816767	223.00056666666666
31	4179.6.08:00.60/0-33470.6.11:20.60/0-34711.6.19:45.30/0-1027.6.20:20.30/0-	4	08:00:43	20:20:43	2.4134587115385436E7	0.003	10.486553846181067	276.99983333333336
32	52389.6.10:30.90/0-29033.6.13:00.60/0-2484.6.18:20.30/0-1014.6.19:00.30/0-52660.6.19:40.60/0-	5	10:30:43	19:33:43	2.406311595469152E7	0.0045	4.104581823050754	218.99963333333332
33	10001.6.08:00.60/0-43556.6.12:00.60/0-12409.6.19:10.30/0-16278.6.19:45.30/0-17592.6.21:30.30/0-	5	08:00:43	21:28:43	2.3968029809907585E7	0.0035	12.936143663586268	242.99908333333335
34	35325.6.09:20.120/0-46213.6.12:55.60/0-53274.6.17:30.150/0-2177.6.20:50.30/0-	4	09:20:43	20:48:43	2.3965504460091848E7	0.006	6.851198669728423	155.99946666666668
35	1327.6.08:10.30/0-12493.6.09:00.30/0-9253.6.09:40.60/0-26668.6.13:00.30/0-3796.6.18:30.60/0-5876.6.19:45.30/0-36891.6.20:30.60/0-	7	08:10:43	20:28:43	2.378373709049992E7	0.005	12.790186349997192	120.00051666666667
36	15765.6.08:00.60/0-33302.6.10:10.60/0-1481.6.11:50.120/0-19852.6.14:30.30/0-15244.6.17:35.60/0-9366.6.18:45.30/1-7527.6.20:15.60/0-	7	08:00:43	20:15:43	2.3631182010786608E7	0.007	11.704250359553567	28.0009
37	3601.6.00:00.60/0-53256.6.08:00.60/0-8255.6.10:00.30/0-52399.6.11:15.30/0-	4	00:00:43	11:15:43	2.3538336727554962E7	0.003	8.611074251831983	268.00006666666667
38	268.6.09:05.60/0-36635.6.10:20.60/0-52453.6.12:00.180/0-26668.6.17:00.30/0-11479.6.19:20.30/0-38366.6.20:20.30/0-30193.6.21:30.30/0-	7	09:05:43	21:28:43	2.3432503846832577E7	0.007	11.082978227752633	25.000233333333334
39	2635.6.09:05.60/0-37139.6.10:15.60/0-4271.6.11:45.120/0-16589.6.14:10.60/0-27064.6.19:05.30/1-45208.6.20:50.30/0-	6	09:05:43	20:49:43	2.3215453825057022E7	0.006	9.848544168567402	81.99995
40	3631.6.09:10.120/0-7786.6.12:00.30/0-22791.6.19:45.30/0-22792.6.20:15.30/0-	4	09:10:43	20:15:43	2.305499105258346E7	0.0035	6.500785086115289	290.99945
41	6262.6.08:00.60/0-27902.6.11:00.60/0-22182.6.18:00.120/0-32895.6.20:30.30/0-	4	08:00:43	20:26:43	2.30240118397601E7	0.0045	11.467811325336529	167.99961666666667
42	27682.6.08:15.60/0-36899.6.10:20.60/0-29020.6.12:30.120/0-32895.6.16:10.30/0-27064.6.19:05.30/0-39774.6.19:50.60/0-43678.6.21:00.60/0-	7	08:15:43	20:56:43	2.2774709122016247E7	0.007	13.156987400541455	12.999983333333333
43	11755.6.10:45.120/0-5291.6.13:15.60/0-12614.6.19:30.30/1-37175.6.20:40.30/0-	4	10:45:43	20:39:43	2.2749055547960404E7	0.004	4.302268265346876	256.9997833333333
44	27889.6.09:00.60/0-28478.6.10:15.90/0-53050.6.12:00.120/0-30235.6.17:00.30/0-25070.6.18:20.30/0-17886.6.19:30.30/0-15342.6.20:45.30/0-	7	09:00:43	20:43:43	2.2685168033434816E7	0.0065	10.172684447827132	42.99978333333333
45	47794.6.09:40.60/0-23731.6.13:20.30/0-276.6.13:55.30/0-41144.6.18:00.30/0-47514.6.19:30.30/0-34355.6.20:30.60/0-	6	09:40:43	20:04:43	2.2541180594683655E7	0.004	9.374036489455142	190.99931666666666
46	16500.6.08:00.60/0-28223.6.11:00.60/0-9442.6.20:10.90/0-	3	08:00:43	16:34:43	2.2532493464033023E7	0.0035	13.082198801100684	219.00045
47	28841.6.09:00.120/0-50106.6.13:30.60/0-833.6.18:45.60/0-31419.6.21:00.30/0-	4	09:00:43	20:45:43	2.252067409991342E7	0.0045	8.689653330447406	220.99973333333332
48	29078.6.09:00.60/0-36409.6.10:20.30/0-5962.6.11:30.60/0-16589.6.14:10.60/1-23219.6.18:30.60/0-43630.6.21:15.30/0-	6	09:00:43	21:13:43	2.2418453765603885E7	0.005	11.282708853462866	127.99953333333333
49	6841.6.09:10.60/0-48436.6.10:20.60/0-5503.6.12:10.120/0-52497.6.14:20.30/0-39794.6.17:30.60/0-27889.6.19:30.30/0-26579.6.20:45.30/0-	7	09:10:43	20:24:43	2.2380233860917643E7	0.0065	10.007478697254708	38.00015
50	268.6.09:05.60/1-5242.6.10:45.30/0-43807.6.12:30.60/0-24207.6.14:15.60/0-50101.6.19:00.60/0-52075.6.21:00.30/0-	6	09:05:43	20:50:43	2.2221808441526577E7	0.005	10.728464717552493	124.99923333333334
51	13084.6.08:45.60/0-7529.6.10:40.30/0-26525.6.12:40.60/0-33054.6.15:00.30/0-4602.6.20:20.60/0-	5	08:45:43	17:22:43	2.1996049311255682E7	0.004	11.201760375189421	180.99993333333333
52	9740.6.08:00.30/0-3962.6.09:00.30/0-27648.6.11:30.60/0-47784.6.14:00.30/0-36402.6.19:00.60/0-346.6.20:15.30/0-	6	08:00:43	20:14:43	2.1977323671892975E7	0.004	12.577705729765798	149.99986666666666
53	32970.6.08:00.60/0-30031.6.09:40.30/0-40546.6.10:15.30/1-53343.6.12:00.120/0-16255.6.17:45.60/0-4302.6.20:00.30/0-	6	08:00:43	19:57:43	2.1931499272742935E7	0.0055	11.04975909143114	90.0001
54	36788.6.10:10.150/0-36935.6.13:20.30/0-36723.6.14:10.30/0-48436.6.19:00.60/0-268.6.21:00.30/0-	5	10:10:43	20:59:43	2.188954065914107E7	0.005	5.651805304702496	211.99976666666666
55	8858.6.09:00.30/0-34355.6.12:30.60/0-2240.6.19:00.60/0-4179.6.21:00.30/0-	4	09:00:43	20:59:43	2.184258719537657E7	0.003	12.086056512552476	208.00008333333332
56	16800.6.10:10.60/0-53123.6.12:20.60/0-11744.6.19:30.30/0-37369.6.21:30.30/0-	4	10:10:43	21:26:43	2.1538063085468784E7	0.003	9.934319515626216	234.00055
57	3460.6.08:00.30/0-2429.6.10:05.60/0-15641.6.12:10.120/0-1637.6.15:20.30/0-32370.6.18:45.30/0-33517.6.20:00.90/0-	6	08:00:43	19:43:43	2.143150837988191E7	0.006	14.383162662730411	20.000216666666667
58	47448.6.10:25.60/0-14039.6.12:30.30/0-276.6.13:55.30/1-5215.6.18:40.60/0-24725.6.20:20.30/0-	5	10:25:43	20:18:43	2.1335130265368517E7	0.0035	7.170792178950592	202.0001
59	6180.6.08:55.60/0-38915.6.10:40.30/0-1027.6.11:40.30/0-53153.6.13:00.120/0-40738.6.18:00.60/0-32903.6.19:30.30/0-36921.6.21:00.60/0-	7	08:55:43	20:55:43	2.125893127109227E7	0.0065	12.63085903640902	18.000083333333333
60	8996.6.09:50.60/0-37318.6.12:00.60/0-11744.6.19:30.30/1-29566.6.20:40.30/0-	4	09:50:43	20:38:43	2.1153505812996052E7	0.003	9.117810433201862	227.99951666666666
61	30512.6.10:15.60/0-4022.6.11:45.60/0-43191.6.15:15.240/0-5846.6.20:30.30/0-	4	10:15:43	20:17:43	2.1118783168661483E7	0.0065	7.959155622049404	18.000133333333334
62	9173.6.09:00.60/0-22621.6.10:15.60/0-7590.6.12:00.120/0-8858.6.14:10.30/0-24083.6.15:15.30/0-28478.6.19:30.90/0-	6	09:00:43	19:23:43	2.107640704517848E7	0.0065	10.54628483928279	16.0003
63	19773.6.08:40.60/0-8255.6.12:30.30/0-52314.6.13:30.30/0-46840.6.19:00.30/0-9704.6.21:00.30/0-	5	08:40:43	21:00:43	2.0830704496595323E7	0.003	12.355899886510723	221.00045
64	48153.6.08:10.30/0-35796.6.09:30.60/0-33517.6.11:00.90/0-25281.6.13:30.60/0-32116.6.14:45.30/0-29753.6.18:30.30/0-25752.6.21:20.30/0-	7	08:10:43	21:19:43	2.0616505588825144E7	0.0055	15.216869627504785	35.99998333333333
65	31338.6.08:45.30/0-23943.6.09:50.30/0-13454.6.12:45.120/0-36488.6.19:00.90/0-27336.6.21:00.30/0-	5	08:45:43	20:59:43	2.056101281943937E7	0.005	13.365710647979034	66.00068333333333
66	38920.6.08:00.60/0-6283.6.09:30.30/0-33448.6.10:00.30/0-3742.6.11:20.120/0-26672.6.17:30.60/0-36001.6.21:00.30/0-	6	08:00:43	20:57:43	2.0398141032380603E7	0.0055	13.938517746020132	62.99975
67	25752.6.09:10.60/0-27084.6.11:15.90/0-24083.6.19:50.30/0-9261.6.20:50.30/0-	4	09:10:43	20:50:43	2.0200645300537415E7	0.0035	11.355426684580447	180.9997
68	50458.6.07:15.30/0-34456.6.09:00.30/0-26790.6.12:00.60/0-47514.6.14:30.30/0-16676.6.18:10.30/0-5948.6.19:30.30/0-32002.6.20:30.30/0-4948.6.21:15.30/0-	8	07:15:43	21:15:43	2.013635098455093E7	0.0045	16.952061564341193	87.00016666666667
69	3796.6.10:45.120/0-3210.6.14:00.60/0-40192.6.19:00.30/0-30703.6.19:40.30/0-	4	10:45:43	19:39:43	1.997598466118918E7	0.004	3.8658053729727446	211.00016666666667
70	15046.6.08:10.45/0-10423.6.10:30.60/0-15244.6.12:35.120/0-24701.6.14:40.30/0-2460.6.17:30.30/0-4193.6.19:00.30/0-9473.6.20:00.30/0-	7	08:10:43	19:57:43	1.9576926523624413E7	0.00575	12.563067454146966	20.000566666666668
71	27550.6.09:15.60/0-43332.6.13:30.60/0-25858.6.17:30.120/0-34362.6.21:00.60/0-	4	09:15:43	20:58:43	1.952732362551011E7	0.005	12.912037517003757	78.99936666666666
72	7016.6.10:20.60/0-36766.6.11:40.60/0-26264.6.19:10.60/0-45695.6.21:15.30/0-	4	10:20:43	21:12:43	1.927080485765502E7	0.0035	10.360311921834032	165.99991666666668
73	12775.6.10:05.60/0-45260.6.12:50.60/0-37139.6.18:50.60/0-53256.6.21:00.60/0-	4	10:05:43	20:59:43	1.9124498421219435E7	0.004	11.48306404064783	133.0001
74	26406.6.09:00.60/0-36921.6.10:15.60/0-45591.6.12:20.120/0-31302.6.16:50.30/0-24976.6.18:00.30/1-6493.6.19:30.30/0-6927.6.20:15.30/0-	7	09:00:43	20:15:43	1.905553074528633E7	0.006	11.185308176211079	11.999516666666667
75	38848.6.09:00.60/0-6096.6.12:00.60/0-2460.6.18:50.30/0-22492.6.20:15.30/0-	4	09:00:43	20:12:43	1.905419403313184E7	0.003	11.13971777106133	192.00003333333333
76	45208.6.07:55.60/0-3942.6.09:30.60/0-48234.6.11:15.120/0-7786.6.15:00.30/0-26700.6.20:30.60/0-	5	07:55:43	20:11:43	1.9046064872198902E7	0.0055	14.866979073296811	40.00091666666667
77	2832.6.00:00.90/0-28361.6.08:00.30/0-28443.6.09:15.30/0-27277.6.10:30.30/0-11100.6.13:00.30/0-	5	00:00:43	12:59:43	1.889300345800992E7	0.0035	13.767665266997454	187.99955
78	37369.6.08:35.30/1-40192.6.09:30.30/0-43687.6.12:30.60/0-48900.6.14:30.30/0-37282.6.18:20.30/0-36732.6.20:30.60/0-	6	08:35:43	20:29:43	1.8801361250997502E7	0.004	14.712491699916725	95.99976666666667
79	29031.6.08:00.30/0-29753.6.09:10.30/0-42978.6.10:30.30/0-9326.6.12:30.120/0-26668.6.19:00.30/0-28361.6.20:30.30/0-	6	08:00:43	20:29:43	1.8689298571971066E7	0.0045	14.97593573236885	64.00033333333333
80	12055.6.10:00.60/0-7796.6.13:40.60/0-2057.6.14:45.30/0-40693.6.19:00.30/0-53343.6.20:00.60/0-	5	10:00:43	19:51:43	1.8655741271352697E7	0.004	9.858592378423207	125.99971666666667
81	28361.6.08:00.30/1-27798.6.09:00.30/0-33061.6.12:55.60/0-9021.6.14:10.30/0-13160.6.15:30.30/0-37332.6.17:00.60/0-52314.6.19:15.30/0-10049.6.19:55.30/0-	8	08:00:43	19:47:43	1.8477883290797066E7	0.005	13.887668187990359	30.999683333333333
82	16500.6.08:00.60/1-6493.6.12:10.60/0-26163.6.19:50.30/0-39089.6.21:00.30/0-	4	08:00:43	20:50:43	1.7920481831152946E7	0.003	15.349177705098251	171.0001
83	46213.6.07:55.30/0-39522.6.09:50.30/0-29566.6.11:00.60/0-4797.6.14:00.30/0-24945.6.14:35.30/0-29646.6.17:45.30/0-23500.6.18:30.30/0-52497.6.20:00.30/0-	8	07:55:43	19:59:43	1.7778577787298128E7	0.0045	13.630358274269907	48.999766666666666
84	37061.6.08:30.60/0-26456.6.10:55.60/0-25858.6.12:40.120/0-6153.6.16:15.60/0-36766.6.19:30.30/0-	5	08:30:43	19:24:43	1.77420747913446E7	0.0055	11.402443044820092	20.000016666666667
85	34879.6.10:00.120/0-48331.6.13:20.30/0-9473.6.14:45.30/0-36821.6.18:40.30/0-34711.6.19:30.30/0-	5	10:00:43	19:23:43	1.759198055846184E7	0.004	6.398935282061322	170.0002
86	45655.6.09:00.60/0-26729.6.11:15.30/0-27550.6.12:30.30/0-33070.6.20:15.60/0-	4	09:00:43	17:34:43	1.737377008388865E7	0.003	13.126152796288274	162.99975
87	36677.6.09:10.120/0-37280.6.12:25.60/0-26959.6.16:00.180/0-268.6.21:00.30/1-	4	09:10:43	20:59:43	1.720010627837967E7	0.0065	11.33562594598896	11.000616666666666
88	3872.6.10:00.240/0-22234.6.14:15.60/0-47784.6.18:30.30/0-23943.6.19:15.30/0-48984.6.21:00.60/0-	5	10:00:43	21:00:43	1.7120223120115608E7	0.007	6.673920670520177	102.00008333333334
89	21139.6.00:00.60/0-28619.6.08:00.30/0-11746.6.10:00.60/0-	3	00:00:43	09:59:43	1.7061471801667154E7	0.0025	10.71757672223846	188.99906666666666
90	40055.6.10:00.90/0-42978.6.14:00.30/0-7428.6.14:45.30/0-9600.6.19:00.30/0-4397.6.21:30.30/0-	5	10:00:43	21:28:43	1.68579250321053E7	0.0035	11.932651070176728	154.99908333333335
91	8512.6.09:50.150/0-47062.6.13:25.30/0-33994.6.15:00.30/0-23280.6.18:25.60/0-31302.6.21:30.30/0-	5	09:50:43	21:24:43	1.68072997060779E7	0.005	10.242306869263333	125.0005
92	20107.6.09:30.120/0-4351.6.12:30.30/0-36693.6.13:30.120/0-5846.6.17:00.60/0-53150.6.20:30.30/0-	5	09:30:43	20:26:43	1.6797417106632706E7	0.006	9.914320221090266	34.99978333333333
93	9861.6.10:00.60/0-7493.6.13:00.60/0-25097.6.17:50.60/0-28619.6.21:00.30/0-	4	10:00:43	20:58:43	1.6326197007361416E7	0.0035	12.206183578713874	116.00018333333334
94	31865.6.10:20.60/0-28715.6.12:30.60/0-52399.6.19:00.60/0-7821.6.21:00.30/0-	4	10:20:43	20:58:43	1.6246737019117592E7	0.0035	11.55848397058639	114.9997
95	45695.6.08:00.30/0-28105.6.10:30.60/0-28348.6.12:00.60/0-22299.6.16:30.30/0-1637.6.18:00.30/0-1014.6.19:00.30/1-13129.6.20:55.30/0-	7	08:00:43	20:55:43	1.5939969044523973E7	0.0045	17.332451484132402	16.999916666666667
96	9573.6.07:50.60/0-52452.6.09:30.60/0-8318.6.12:25.120/0-26729.6.19:00.30/0-28478.6.20:15.30/0-	5	07:50:43	20:14:43	1.558490783723647E7	0.005	15.49614457454903	12.000383333333334
97	33302.6.10:10.60/1-42825.6.11:20.60/0-13677.6.13:20.120/0-7786.6.17:50.30/0-36821.6.20:20.30/0-	5	10:10:43	20:20:43	1.556781606903224E7	0.005	10.926752301074707	14.000216666666667
98	6940.6.10:00.60/1-32169.6.14:00.30/0-46259.6.15:20.30/0-1999.6.18:10.60/0-5211.6.20:10.30/0-	5	10:00:43	20:07:43	1.5390091973356007E7	0.0035	11.002649111866887	101.0002
99	47820.6.09:25.45/0-43174.6.11:00.30/0-27854.6.12:00.120/0-43730.6.18:20.30/0-2177.6.20:50.30/1-	5	09:25:43	20:48:43	1.512763129731719E7	0.00425	14.255259910572969	34.99955
100	3333.6.07:50.60/0-29206.6.09:40.30/0-19633.6.10:40.30/0-5488.6.11:15.120/0-52660.6.13:40.60/0-	5	07:50:43	13:37:43	1.4924490191859966E7	0.005	3.483423061998851	6.999783333333333
101	50101.6.08:00.60/0-16480.6.09:30.60/0-50102.6.11:50.120/0-23280.6.14:00.60/0-	4	08:00:43	14:00:43	1.48751508948588E7	0.005	3.838679828626618	5.999833333333333
102	24701.6.08:30.30/0-7821.6.09:15.60/0-24391.6.10:30.60/1-50194.6.12:15.90/0-	4	08:30:43	11:45:43	1.4741115942859026E7	0.004	1.3706147619675355	34.99995
