ID	IDServices	Hini	Hfin	Distance	Service Time	Travel Time	Waiting time1	26347.6.07:50.60/0-27342.6.10:00.30/0-33517.6.11:00.90/0-19852.6.20:20.30/0-4437.6.21:00.30/1-	07:50:04	21:00:04	3.061620333990021E7	0.004	368.540761330007	325.99966666666666
24	5846.6.08:00.60/0-4797.6.09:50.30/0-5215.6.12:30.60/0-42825.6.14:35.30/0-19773.6.20:10.30/0-7428.6.21:00.30/0-	08:00:04	20:58:04	2.547361675159352E7	0.004	371.1200750531173	239.00023333333334
25	32169.6.07:55.60/0-21191.6.09:05.30/0-6255.6.11:40.30/0-25933.6.19:50.60/0-27062.6.21:00.60/0-	07:55:04	21:00:04	2.5390170796150796E7	0.004	372.3372432050266	237.00088333333332
26	27889.6.09:00.60/0-28223.6.11:00.60/0-3796.6.18:30.60/0-5876.6.19:45.30/0-36891.6.20:30.60/0-	09:00:04	20:28:04	2.5000724915425375E7	0.0045	429.3584471808457	201.99951666666666
27	12356.6.08:30.60/0-38986.6.12:00.60/0-34711.6.19:45.30/0-1027.6.20:20.30/0-	08:30:04	20:20:04	2.4636166858483363E7	0.003	249.2059452827787	285.9998
28	5255.6.07:30.60/0-32895.6.08:55.60/0-6908.6.11:30.60/0-3774.6.12:50.30/0-9366.6.13:30.30/0-47955.6.17:50.60/0-12614.6.19:30.30/0-37369.6.20:30.30/0-	07:30:04	20:12:04	2.4412367491317708E7	0.006	581.535878797827	101.00021666666666
29	31338.6.08:45.30/0-23943.6.09:50.30/0-43807.6.12:30.60/0-24207.6.14:15.60/0-1173.6.19:30.30/0-5242.6.20:30.30/0-	08:45:04	20:28:04	2.4366343775981404E7	0.004	430.2104758660468	191.00048333333334
30	12614.6.08:00.30/1-34711.6.08:30.30/0-43730.6.11:00.60/0-6538.6.12:45.30/0-30131.6.16:00.240/0-4397.6.21:30.30/1-	08:00:04	21:26:04	2.4353267991440862E7	0.007	793.7756830480288	8.99995
31	4034.6.00:00.60/0-27682.6.08:15.60/0-36402.6.12:10.60/0-	00:00:04	12:06:04	2.4330662107170995E7	0.003	251.02295357236645	279.99955
32	7423.6.08:40.60/0-4797.6.10:00.30/0-934.6.12:30.60/0-16278.6.14:05.30/0-1410.6.14:40.30/0-4351.6.18:30.30/0-36723.6.19:40.30/0-35240.6.20:20.30/0-	08:40:04	20:13:04	2.427485589044293E7	0.005	459.09713881876456	159.99943333333334
33	43480.6.10:45.120/0-4061.6.13:15.60/0-40692.6.14:15.60/0-2484.6.18:20.30/0-1014.6.19:00.30/0-52660.6.19:40.60/0-	10:45:04	19:33:04	2.4077255466810156E7	0.006	482.5753655603385	159.9999
34	2687.6.08:30.60/0-43556.6.12:00.60/0-12409.6.19:10.30/0-16278.6.19:45.30/0-17592.6.21:30.30/0-	08:30:04	21:28:04	2.399747582741804E7	0.0035	311.91594424726804	243.99995
35	35325.6.09:20.120/0-46213.6.12:55.60/0-53274.6.17:30.150/0-2177.6.20:50.30/0-	09:20:04	20:48:04	2.3965504460091848E7	0.006	486.8511986697284	155.99946666666668
36	52389.6.10:30.90/0-29033.6.13:00.60/0-22791.6.19:45.30/0-22792.6.20:15.30/0-	10:30:04	20:15:04	2.389002486135999E7	0.0035	244.33407871199978	276.0000333333333
37	25866.6.08:50.60/0-1011.6.11:00.60/0-29020.6.12:30.120/0-32895.6.16:10.30/0-27064.6.19:05.30/0-39774.6.19:50.60/0-43678.6.21:00.60/0-	08:50:04	20:56:04	2.368332529489572E7	0.007	731.4440598298573	29.00005
38	33059.6.08:30.60/0-31302.6.10:00.60/0-4271.6.11:45.120/0-16589.6.14:10.60/0-27064.6.19:05.30/1-45208.6.20:50.30/0-	08:30:04	20:49:04	2.3663862182467073E7	0.006	610.7964560822357	88.99946666666666
39	15765.6.08:00.60/0-33302.6.10:10.60/0-1481.6.11:50.120/0-19852.6.14:30.30/0-15244.6.17:35.60/0-9366.6.18:45.30/1-7527.6.20:15.60/0-	08:00:04	20:15:04	2.3631183010786608E7	0.007	731.7042503595536	28.000916666666665
40	3601.6.00:00.60/0-53256.6.08:00.60/0-8255.6.10:00.30/0-52399.6.11:15.30/0-	00:00:04	11:15:04	2.3538336727554962E7	0.003	248.611074251832	268.00006666666667
41	268.6.09:05.60/0-36635.6.10:20.60/0-52453.6.12:00.180/0-26668.6.17:00.30/0-11479.6.19:20.30/0-38366.6.20:20.30/0-30193.6.21:30.30/0-	09:05:04	21:28:04	2.3432504846832577E7	0.007	731.0829782277527	25.00025
42	4179.6.08:00.60/0-33470.6.11:20.60/0-12614.6.19:30.30/1-37175.6.20:40.30/0-	08:00:04	20:39:04	2.3328314522168174E7	0.003	251.61176740560578	262.99935
43	1327.6.08:10.30/0-12493.6.09:00.30/0-9253.6.09:40.60/0-26668.6.13:00.30/0-22182.6.18:00.120/0-32895.6.20:30.30/0-	08:10:04	20:26:04	2.3162628570060372E7	0.005	552.0871690020124	110.00021666666666
44	6262.6.08:00.60/0-27902.6.11:00.60/0-9442.6.20:10.90/0-	08:00:04	16:28:04	2.2709577002989445E7	0.0035	312.9857500996481	222.00006666666667
45	47794.6.09:40.60/0-23731.6.13:20.30/0-276.6.13:55.30/0-41144.6.18:00.30/0-47514.6.19:30.30/0-34355.6.20:30.60/0-	09:40:04	20:04:04	2.2541180594683655E7	0.004	369.37403648945514	190.99931666666666
46	28841.6.09:00.120/0-50106.6.13:30.60/0-833.6.18:45.60/0-31419.6.21:00.30/0-	09:00:04	20:45:04	2.252067409991342E7	0.0045	308.6896533304474	220.99973333333332
47	30139.6.07:50.60/0-53292.6.10:00.60/0-5503.6.12:10.120/0-52497.6.14:20.30/0-39794.6.17:30.60/0-27889.6.19:30.30/0-26579.6.20:45.30/0-	07:50:04	20:24:04	2.251863365482407E7	0.0065	672.6208384941356	39.00013333333333
48	11755.6.10:45.120/0-5291.6.13:15.60/0-23219.6.18:30.60/0-43630.6.21:15.30/0-	10:45:04	21:13:04	2.243014049264245E7	0.0045	305.6711330880817	221.0001
49	3631.6.09:10.120/0-7786.6.12:00.30/0-50101.6.19:00.60/0-52075.6.21:00.30/0-	09:10:04	20:50:04	2.2391882246374156E7	0.004	248.3976915458051	248.99918333333332
50	13084.6.08:45.60/0-7529.6.10:40.30/0-26525.6.12:40.60/0-33054.6.15:00.30/0-4602.6.20:20.60/0-	08:45:04	17:22:04	2.1996050311255682E7	0.004	371.2017603751894	180.99995
51	9740.6.08:00.30/0-3962.6.09:00.30/0-27648.6.11:30.60/0-47784.6.14:00.30/0-36402.6.19:00.60/0-346.6.20:15.30/0-	08:00:04	20:14:04	2.1977324671892975E7	0.004	432.5777057297658	149.99988333333334
