ID	IDServices	Num Services	H first 	H last	Last Service  Time (includes duration)	Distance	Service Time	Travel Time	Waiting time
1	81.0.08:00.90/0-90.0.08:00.60/0-36325.0.12:25.120/0-36331.0.10:30.60/0-91.0.07:50.60/0-36302.0.12:00.60/0-82.0.18:45.60/0-	7	07:00:19	16:20:19	17:20:19	3.703276386347626E7	510.0	112.21271439127102	85.00001666666667
2	36361.0.11:30.180/0-36341.0.13:20.120/0-87.0.12:50.60/0-36363.0.08:00.60/0-	4	07:00:19	17:39:19	18:39:19	3.124098006845825E7	420.0	280.6830011409709	0.0
3	36217.0.16:25.90/0-36402.0.19:40.60/0-	2	15:25:19	17:01:19	18:01:19	9958097.347672507	150.0	6.968289127875103	99.0
554
