0,1362,1362.0.08:00.60/0,0,8,0,8,0,60,40.4168135,-3.6969518,0
0,1362,1362.2.08:00.60/0,2,8,0,8,0,60,40.4168135,-3.6969518,0
0,1362,1362.4.08:00.60/0,4,8,0,8,0,60,40.4168135,-3.6969518,0
1,1551,1551.1.10:40.90/0,1,10,40,10,40,90,40.4125606,-3.6994238,0
1,1551,1551.4.13:00.90/0,4,13,0,13,0,90,40.4125606,-3.6994238,0
2,15682,15682.1.09:00.90/0,1,9,0,9,0,90,40.4101056,-3.692726,0
2,15682,15682.2.09:00.90/0,2,9,0,9,0,90,40.4101056,-3.692726,0
2,15682,15682.3.09:00.90/0,3,9,0,9,0,90,40.4101056,-3.692726,0
3,16062,16062.0.11:20.90/0,0,11,20,11,20,90,40.4123091,-3.6986083,0
3,16062,16062.2.11:20.90/0,2,11,20,11,20,90,40.4123091,-3.6986083,0
3,16062,16062.4.11:20.90/0,4,11,20,11,20,90,40.4123091,-3.6986083,0
4,20934,20934.3.12:50.120/0,3,12,50,12,50,120,40.410386,-3.6975724,0
5,37973,37973.0.12:30.120/0,0,12,30,12,30,120,40.4106491,-3.6957873,0
5,37973,37973.2.12:30.120/0,2,12,30,12,30,120,40.4106491,-3.6957873,0
6,38607,38607.0.09:10.120/0,0,9,10,9,10,120,40.4136616,-3.698863,0
6,38607,38607.4.09:10.120/0,4,9,10,9,10,120,40.4136616,-3.698863,0
7,47928,47928.1.12:20.120/0,1,12,20,12,20,120,40.4296279427,-3.7118021149,-1
8,8555,8555.3.10:40.120/0,3,10,40,10,40,120,40.4131356,-3.6958826,0
9,1268,1268.0.09:00.90/0,0,9,0,9,0,90,40.4105322,-3.7064497,0
9,1268,1268.1.09:00.90/0,1,9,0,9,0,90,40.4105322,-3.7064497,0
9,1268,1268.2.09:00.90/0,2,9,0,9,0,90,40.4105322,-3.7064497,0
9,1268,1268.3.09:00.90/0,3,9,0,9,0,90,40.4105322,-3.7064497,0
9,1268,1268.4.09:00.90/0,4,9,0,9,0,90,40.4105322,-3.7064497,0
10,13045,13045.3.12:55.60/0,3,12,55,12,55,60,40.40749479999999,-3.7011373,0
11,18600,18600.4.11:50.120/0,4,11,50,11,50,120,40.4116864,-3.7016227,0
12,23731,23731.4.08:15.45/0,4,8,15,8,15,45,40.409961,-3.7041464,0
13,23731,23731.0.14:35.45/0,0,14,35,14,35,45,40.409961,-3.7041464,0
13,23731,23731.1.14:35.45/0,1,14,35,14,35,45,40.409961,-3.7041464,0
13,23731,23731.2.14:00.45/0,2,14,0,14,0,45,40.409961,-3.7041464,0
13,23731,23731.3.14:35.45/0,3,14,35,14,35,45,40.409961,-3.7041464,0
13,23731,23731.4.14:00.45/0,4,14,0,14,0,45,40.409961,-3.7041464,0
14,28855,28855.4.11:45.60/0,4,11,45,11,45,60,40.4110422,-3.7069962,0
15,34311,34311.1.11:50.120/0,1,11,50,11,50,120,40.4110923,-3.7027203,0
16,37965,37965.0.11:50.120/0,0,11,50,11,50,120,40.4107527,-3.7059622,0
17,43036,43036.3.11:50.120/0,3,11,50,11,50,120,40.4083372,-3.699427099999999,0
18,48015,48015.1.10:40.60/0,1,10,40,10,40,60,40.4092685,-3.7037938,0
19,48015,48015.0.11:10.60/0,0,11,10,11,10,60,40.4092685,-3.7037938,0
20,53832,53832.0.10:35.45/0,0,10,35,10,35,45,40.4113506,-3.704341799999999,0
20,53832,53832.2.10:35.30/0,2,10,35,10,35,30,40.4113506,-3.704341799999999,0
20,53832,53832.4.10:35.45/0,4,10,35,10,35,45,40.4113506,-3.704341799999999,0
21,8804,8804.2.11:50.120/0,2,11,50,11,50,120,40.4106959,-3.7016189,0
22,15556,15556.2.12:30.120/0,2,12,30,12,30,120,40.4123866,-3.6974954,0
23,24348,24348.4.13:35.60/0,4,13,35,13,35,60,40.4150633,-3.6982779,0
24,29021,29021.0.09:40.60/0,0,9,40,9,40,60,40.4116625,-3.6948309,0
24,29021,29021.1.09:40.60/0,1,9,40,9,40,60,40.4116625,-3.6948309,0
24,29021,29021.2.09:40.60/0,2,9,40,9,40,60,40.4116625,-3.6948309,0
24,29021,29021.4.09:40.60/0,4,9,40,9,40,60,40.4116625,-3.6948309,0
25,31805,31805.1.13:00.120/0,1,13,0,13,0,120,40.4100208,-3.6954946,0
26,34451,34451.1.10:50.120/0,1,10,50,10,50,120,40.4110774,-3.694531899999999,0
27,34453,34453.2.10:50.120/0,2,10,50,10,50,120,40.4110774,-3.694531899999999,0
27,34453,34453.3.10:50.120/0,3,10,50,10,50,120,40.4110774,-3.694531899999999,0
27,34453,34453.4.10:50.120/0,4,10,50,10,50,120,40.4110774,-3.694531899999999,0
28,36197,36197.0.10:00.30/0,0,10,0,10,0,30,40.4117453,-3.7041475,0
28,36197,36197.1.10:00.30/0,1,10,0,10,0,30,40.4117453,-3.7041475,0
