
BasicModel: Loading and testing schedule from file

Configuration: 

customers=Usuarios.txt
resources=Auxiliares.txt
services=clusters_originalLong/Servicios_lunes_c11.txt
locations=clusters_originalLong/Cluster_completo_j12_c11.txt
solution=null
solutionVAR=null

Adding 0 additional subservices: 

# customer, serviceReference, dayOfWeek, minHour, minMinute, maxHour, maxMinute, duration, latitude, longitude
--------
1240,1240.0.11:40.60/0,0,7,0,21,0,60,40.41,-3.6994
1240,1240.0.18:00.60/0,0,7,0,21,0,60,40.41,-3.6994
1247,1247.0.09:30.90/0,0,7,0,20,30,90,40.409,-3.7099
1258,1258.0.08:40.90/0,0,7,40,9,40,90,40.409,-3.7077
1268,1268.0.09:00.90/0,0,9,0,9,0,90,40.41,-3.7063
1292,1292.0.11:00.150/0,0,10,0,12,0,150,40.409,-3.6985
1304,1304.0.11:15.120/0,0,7,0,20,0,120,40.409,-3.7056
1307,1307.0.10:05.90/0,0,7,0,20,30,90,40.409,-3.7017
1313,1313.0.17:00.120/0,0,16,0,18,0,120,40.409,-3.699
1327,1327.0.14:30.60/0,0,13,30,15,30,60,40.407,-3.6998
1327,1327.0.09:00.30/0,0,8,0,10,0,30,40.407,-3.6998
1327,1327.0.18:30.30/0,0,17,30,19,30,30,40.407,-3.6998
1335,1335.0.11:10.90/0,0,7,0,20,30,90,40.407,-3.699
1344,1344.0.07:45.60/0,0,7,45,7,45,60,40.413,-3.7032
1358,1358.0.14:30.60/0,0,7,0,21,0,60,40.409,-3.7077
1381,1381.0.10:40.90/0,0,9,40,11,40,90,40.412,-3.7037
1381,1381.0.14:15.90/0,0,13,15,15,15,90,40.412,-3.7037
1391,1391.0.08:30.120/0,0,7,30,9,30,120,40.412,-3.6967
1402,1402.0.13:45.60/0,0,12,45,14,45,60,40.411,-3.7105
1402,1402.0.07:55.60/0,0,7,0,8,55,60,40.411,-3.7105
1413,1413.0.16:50.60/0,0,16,50,16,50,60,40.403,-3.7013
1413,1413.0.16:50.60/1,0,16,50,16,50,60,40.403,-3.7013
1413,1413.0.08:00.60/0,0,8,0,8,0,60,40.403,-3.7013
1413,1413.0.08:00.60/1,0,8,0,8,0,60,40.403,-3.7013
1434,1434.0.08:30.30/0,0,7,30,9,30,30,40.407,-3.7003
1434,1434.0.08:30.30/1,0,7,30,9,30,30,40.407,-3.7003
1437,1437.0.09:05.90/0,0,8,5,10,5,90,40.411,-3.7114
1439,1439.0.11:05.60/0,0,10,5,12,5,60,40.409,-3.6989
1443,1443.0.17:40.90/0,0,7,0,20,30,90,40.41,-3.7131
1454,1454.0.11:35.90/0,0,7,0,20,30,90,40.412,-3.7011
1472,1472.0.09:00.90/0,0,8,0,10,0,90,40.408,-3.7024
1478,1478.0.20:50.30/0,0,19,50,21,30,30,40.411,-3.6948
1478,1478.0.13:30.60/0,0,12,30,14,30,60,40.411,-3.6948
